lang,gl,var1,var2,var3,var4,var5,var6
hoch1243,take\1E.A,take(OBJ.3SG)\1E.A,,,,,
hoch1243,talk,talk(SBJ.3SG),,,,,
hoch1243,talk.to,talk.to(OBJ.3SG),talk.to(SBJ.3SG),discuss.with,discuss.with(OBJ.3SG),,
hoch1243,teach,teach(SBJ.3SG),teach(OBJ.3SG),,,,
hoch1243,tell,tell(SBJ.3SG),tell(OBJ.3SG),tell(SBJ.3SG&OBJ.3SG),tell(OBJ.3SG&OBJ.3SG),tell(SBJ.3SG&OBJ.3SG&OBJ.3SG),tell(SBJ.3PL)
hoch1243,tell.to.do,tell.to.do(OBJ.3SG),,,,,
hoch1243,tell\1E.A,tell(OBJ.3SG&OBJ.3SG)\1E.A,tell(OBJ.3SG)\1E.A,,,,
hoch1243,that’s.why,thus,OBL.FIN,it’s.true,,,
hoch1243,there,=there,-there,,,,
hoch1243,think,think(SBJ.3SG&OBJ.3SG),think(OBJ.3SG),think(OBJ.3SG&OBJ.3SG),,,
hoch1243,think.of,think.of(OBJ.3SG),,,,,
hoch1243,Thunder(clan),Thunderbird,,,,,
hoch1243,tie,tie(OBJ.3SG),tie(SBJ.3SG),,,,
hoch1243,uncover,uncover(OBJ.3SG),uncover(SBJ.3SG),,,,
hoch1243,use,use(OBJ.3SG),use(SBJ.3SG&OBJ.3SG),,,,
hoch1243,walk,walk(SBJ.3SG),,,,,
hoch1243,want,want(SBJ.3SG&OBJ.3SG),want(OBJ.3SG),,,,
hoch1243,wear.on.head,wear.on.head(SBJ.3SG),,,,,
hoch1243,woman,female,,,,,
hoch1243,work,work(SBJ.3SG),,,,,
hoch1243,write,write(SBJ.3SG&OBJ.3SG),write(SBJ.3SG),,,,
