lang,gl,var1,var2,var3,var4,var5
beja1238,sit\MID.AOR,sit\MID.IPFV,sit\REFL.AOR,be_seated\MID.AOR,be_seated\MID.IPFV,
beja1238,slaughter,slaughter\PFV,slaughter\PFV.[1SG],,,
beja1238,spend_the_night,spend_the_night\N.AC,,,,
beja1238,spread,spread\PFV,,,,
beja1238,steal,steal\AOR,,,,
beja1238,stone,hill,,,,
beja1238,such_and_such,such-and-such,,,,
beja1238,take,take\PFV,take\PFV.1SG,,,
beja1238,take_a_mouthful,devour,,,,
beja1238,take_care\PFV,take_carePFV,,,,
beja1238,take_shelter\INT,take_shelter\INT.PFV,,,,
beja1238,take\IPFV.[1SG],take\IPFV.[2SG.M],take\IPFV.[3SG.M],,,
beja1238,take\N.AC,grab\N.AC,,,,
beja1238,talk\MID,talk\MID.PFV,,,,
beja1238,there,DIST.SG.M.ACC,DIST.SG.M.NOM,,,
beja1238,think,think\PFV.[3SG.M],,,,
beja1238,thorny_fruit,thorny_fruits,,,,
beja1238,throw,throw\AOR,throw\PFV,,,
beja1238,towards,DIST.SG.F.NOM,DIST.SG.F.ACC,,,
beja1238,track,track\PFV,,,,
beja1238,travel,travel\N.AC,,,,
beja1238,treat,treat\N.AC,,,,
beja1238,turn_aside\MID,turn_aside\MID.PFV,,,,
beja1238,uncle,oncle,,,,
beja1238,untie,untie\IPFV,,,,
beja1238,wait\IPFV.[3SG.M],wait\IPFV.[3SG.F],,,,
beja1238,watch,watch\AOR,,,,
beja1238,water,water\PL,,,,
beja1238,witch,whitch,,,,
