lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17
goro1270,life,life\LF,,,,,,,,,,,,,,,,
goro1270,lift.up,lift.up\?,,,,,,,,,,,,,,,,
goro1270,long\F,long,,,,,,,,,,,,,,,,
goro1270,look,look\Imp,look\F.Pst,,,,,,,,,,,,,,,
goro1270,look.at\2Sg.Pres,look\2Sg.?,look.at\F.Subj,see\2Sg,see\2Sg.?,see\2Sg.Subj,,,,,,,,,,,,
goro1270,look.at\M.Subj,see\M.Pres,,,,,,,,,,,,,,,,
goro1270,love,love\1Sg.Pres,love\2Sg.Subj,want,want\1Sg.Pres,want\F,want\F.Subj,want\1Sg.Subj,want\F.Pst,want\?,,,,,,,,
goro1270,make,make\1Sg.Subj,make\2Sg.Pst,make\2Sg.Subj,make\F.Pst,make\F.Subj,make\Imp,make\M,make\SImprs.Pst,,,,,,,,,
goro1270,making,?making,,,,,,,,,,,,,,,,
goro1270,man\LF,husband\LF,,,,,,,,,,,,,,,,
goro1270,many,many\?,,,,,,,,,,,,,,,,
goro1270,middle,middle\LF,between,,,,,,,,,,,,,,,
goro1270,much,very,,,,,,,,,,,,,,,,
goro1270,on,?on,,,,,,,,,,,,,,,,
goro1270,oorumo.tree,ʕoorumo.tree,,,,,,,,,,,,,,,,
goro1270,other,other\F,other\?,,,,,,,,,,,,,,,
goro1270,other.things,other.things\LF,?things,,,,,,,,,,,,,,,
goro1270,P.2Sg.M-,P.M-,,,,,,,,,,,,,,,,
goro1270,P.F-,P.F,,,,,,,,,,,,,,,,
goro1270,path,road,,,,,,,,,,,,,,,,
goro1270,people\LF,people.LF,,,,,,,,,,,,,,,,
goro1270,person,people,"people, mores",,,,,,,,,,,,,,,
goro1270,Poss,PossF,PossM,,,,,,,,,,,,,,,
goro1270,Prep.Vent,PrepVent,,,,,,,,,,,,,,,,
goro1270,ProDem1.F,ProObjORel.SImprs.ON,ProObjSImprs.O1,S.Imp,ProPersObj.SImprs.O1Pl,ProPersObj.SImprs.O1Sg,ProObj.SImprs.O1,DemF,,,,,,,,,,
goro1270,ProObj.?,?ObjPro.S3.ON,?ProObjDep.S3.O?,ObjPro.SM.O1,ProObj.S3.ON,ProObj.Dep.S3.OF,ProObj.S1.OF,ProObj.S1.ON,ProObj.S2.OF,ProObj.SM.O1,ProObj.SM.O?,ProObjDep.S1.OF,ProObjDep.S1.ON,ProObjDep.S3.O?,ProObjDep.S3.OF,ProObjDep.S3.ON,ProObjSRel.S1.ON,ProObjSRel.S3.ON
goro1270,ProObj.S1.OM,ProObj.S1.OM?,ProPersO.2Sg.M,ObjPro.S1.OM.?,ProObj.S2.OM,ObjProS1.OM,ObjPro.S1.OM,,,,,,,,,,,
goro1270,ProObj.S3.OM,ProObj.S3.O1,ProObj.S3.O2?,ProObjSRel.S3.OM,ProObjSRel.S3Pl.ON,ObjPro.S3.OM,,,,,,,,,,,,
goro1270,ProObj.SImprs,ProObjORel.SImprs.OF,ProObjRec,ProSImpers,SImprs,ProObjORel.SImprs,,,,,,,,,,,,
goro1270,ProObj.SImprs.OF,ProObjDep.SImprs.OF,,,,,,,,,,,,,,,,
goro1270,ProObj.SImprs.ON,ObjPro.SImprs.ON,,,,,,,,,,,,,,,,
goro1270,ProPers.1Pl,ProPrs1Pl,,,,,,,,,,,,,,,,
goro1270,ProPers.1Sg,ProPrs1Sg,Pro.Pers.1Sg,Pro1Sg,,,,,,,,,,,,,,
goro1270,ProPers.2Sg.F,ProPer2SgF,ProPrs2FSg,,,,,,,,,,,,,,,
goro1270,ProPers.2Sg.M,ProPers2Sg,ProPers.2Sg,,,,,,,,,,,,,,,
goro1270,ProPers.3Pl,ProPrs3Pl,,,,,,,,,,,,,,,,
goro1270,ProPers.3Sg,ProPrs3Sg,,,,,,,,,,,,,,,,
goro1270,put,put\1Sg,put\1.Subj,put\1Sg.Pst,put\1Sg.Subj,put\2Sg,put\2Sg.Pst,put\2Sg.Subj,put\2Sg.?,put\SImprs.Pst,,,,,,,,
goro1270,Q,PolarQ,,,,,,,,,,,,,,,,
goro1270,Rec,Recip,,,,,,,,,,,,,,,,
goro1270,red\F,red\LF,,,,,,,,,,,,,,,,
goro1270,return,return.(intr.),return\Imp,return\SImprs.Pst,return\1Sg.Subj,,,,,,,,,,,,,
goro1270,say,say\1Sg.Pst,say\1Sg.Subj,say\2Sg.Subj,say\M.?,say\M.Pst,,,,,,,,,,,,
goro1270,see,see\1Sg.Pst,see\M.Pst,,,,,,,,,,,,,,,
goro1270,self,by.himself/herself,,,,,,,,,,,,,,,,
goro1270,side,beside,,,,,,,,,,,,,,,,
goro1270,side\LF,side\?LF,,,,,,,,,,,,,,,,
goro1270,sit,sit\1Sg.Subj,sit\2Sg.Subj,,,,,,,,,,,,,,,
goro1270,so-and-so,some.such,,,,,,,,,,,,,,,,
goro1270,sorcerer,sorcerer\LF,,,,,,,,,,,,,,,,
goro1270,speak,talk\SImprs.Subj,talk\SImprs.?Pst,,,,,,,,,,,,,,,
goro1270,spear,spears,,,,,,,,,,,,,,,,
goro1270,stand.up,stand.up\1Sg,stand.up\2Sg.Subj,,,,,,,,,,,,,,,
goro1270,stand.up\1.Pst,stand.up\1Sg.Pst,,,,,,,,,,,,,,,,
goro1270,surround\F.Pres,surround\F.?,,,,,,,,,,,,,,,,
goro1270,take.away,take.away\1Sg.Pst,"take,away",,,,,,,,,,,,,,,
goro1270,take.out,take.out\1Sg.Pres,,,,,,,,,,,,,,,,
goro1270,take\1Sg.Subj,take,,,,,,,,,,,,,,,,
goro1270,tens,tens\LF,,,,,,,,,,,,,,,,
goro1270,thank.you,please,,,,,,,,,,,,,,,,
goro1270,thing,thing\LF,,,,,,,,,,,,,,,,
goro1270,time,time\LF,,,,,,,,,,,,,,,,
goro1270,tree,tree\LF,,,,,,,,,,,,,,,,
goro1270,trees,trees\LF,,,,,,,,,,,,,,,,
goro1270,turn.around.(trans.),turn.around\1Sg,turn.around\1Sg.Subj,,,,,,,,,,,,,,,
goro1270,underneath,underneath\LF,,,,,,,,,,,,,,,,
goro1270,wage.war,fight\M.Pst,,,,,,,,,,,,,,,,
goro1270,water,water\LF,,,,,,,,,,,,,,,,
goro1270,what,what?,,,,,,,,,,,,,,,,
goro1270,white,white\LF,white\F,white\N,white\]F,,,,,,,,,,,,,
goro1270,work\LF,work\Poss,,,,,,,,,,,,,,,,
goro1270,years,years\LF,,,,,,,,,,,,,,,,
