lang,gl,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13
nort2641,that_time,this.time,this_time,,,,,,,,,,,
nort2641,throw.PRS,toss.PRS,throw.PRS.3SG,throw_away.PRS.3SG,throw.PRS[IMP],,,,,,,,,
nort2641,thus,like_this,this_manner,this_way,like.that,so,sp,,,,,,,
nort2641,time,period,times,,,,,,,,,,,
nort2641,tree,wood,,,,,,,,,,,,
nort2641,until,till,,,,,,,,,,,,
nort2641,villager,villager.PL,,,,,,,,,,,,
nort2641,walk.PRS,wander.PRS,walk.around.PRS,walk_around.PRS,wander_about.PRS,travel_around.PRS,stroll_around.PRS,,,,,,,
nort2641,want.PRS,request.PRS,,,,,,,,,,,,
nort2641,way,way.OBL,road,route,,,,,,,,,,
nort2641,wedding,wedding_ceremony,wedding_dance,wedding_procession,,,,,,,,,,
nort2641,who,whoever,,,,,,,,,,,,
nort2641,whole,healthy,recovered,,,,,,,,,,,
nort2641,window,window.OBL,,,,,,,,,,,,
nort2641,with,through,,,,,,,,,,,,
nort2641,woman,wife,,,,,,,,,,,,
